Abk,Kontinent,Land
ASI,Asien,Afghanistan
AFR,Afrika,Ägypten
EUR,Europa,Albanien
AFR,Afrika,Algerien
EUR,Europa,Andorra
AFR,Afrika,Angola
AME,Amerika,Antigua und Barbuda
AFR,Afrika,Äquatorialguinea
AME,Amerika,Argentinien
ASI,Asien,Armenien
ASI,Asien,Aserbaidschan
AFR,Afrika,Äthiopien
AOA,Oceanien,Australien
AME,Amerika,Bahamas
ASI,Asien,Bahrain
ASI,Asien,Bangladesch
AME,Amerika,Barbados
EUR,Europa,Belgien
AME,Amerika,Belize
AFR,Afrika,Benin
ASI,Asien,Bhutan
AME,Amerika,Bolivien
EUR,Europa,Bosnien und Herzegowina
AFR,Afrika,Botsuana
AME,Amerika,Brasilien
ASI,Asien,Brunei Darussalam
EUR,Europa,Bulgarien
AFR,Afrika,Burkina Faso
AFR,Afrika,Burundi
AME,Amerika,Chile
ASI,Asien,China
AOA,Oceanien,Cookinseln
AME,Amerika,Costa Rica
AFR,Afrika,Côte d'Ivoire
EUR,Europa,Dänemark
EUR,Europa,Deutschland
AME,Amerika,Dominica
AME,Amerika,Dominikanische Republik
AFR,Afrika,Dschibuti
AME,Amerika,Ecuador
AME,Amerika,El Salvador
AFR,Afrika,Eritrea
EUR,Europa,Estland
AOA,Oceanien,Fidschi
EUR,Europa,Finnland
EUR,Europa,Frankreich
AFR,Afrika,Gabun
AFR,Afrika,Gambia
ASI,Asien,Georgien
AFR,Afrika,Ghana
AME,Amerika,Grenada
EUR,Europa,Griechenland
AME,Amerika,Guatemala
AFR,Afrika,Guinea
AFR,Afrika,Guinea-Bissau
AME,Amerika,Guyana
AME,Amerika,Haiti
AME,Amerika,Honduras
ASI,Asien,Indien
ASI,Asien,Indonesien
ASI,Asien,Irak
ASI,Asien,Iran
EUR,Europa,Irland
EUR,Europa,Island
ASI,Asien,Israel
EUR,Europa,Italien
AME,Amerika,Jamaika
ASI,Asien,Japan
ASI,Asien,Jemen
ASI,Asien,Jordanien
ASI,Asien,Kambodscha
AFR,Afrika,Kamerun
AME,Amerika,Kanada
AFR,Afrika,Kap Verde
ASI,Asien,Kasachstan
ASI,Asien,Katar
AFR,Afrika,Kenia
ASI,Asien,Kirgisistan
AOA,Oceanien,Kiribati
AME,Amerika,Kolumbien
AFR,Afrika,Komoren
AFR,Afrika,Kongo
AFR,Afrika,Kongo, Demokratische Republik
ASI,Asien,Korea, Demokratische Volksrepublik
ASI,Asien,Korea, Republik
EUR,Europa,Kosovo
EUR,Europa,Kroatien
AME,Amerika,Kuba
ASI,Asien,Kuwait
ASI,Asien,Laos
AFR,Afrika,Lesotho
EUR,Europa,Lettland
ASI,Asien,Libanon
AFR,Afrika,Liberia
AFR,Afrika,Libyen
EUR,Europa,Liechtenstein
EUR,Europa,Litauen
EUR,Europa,Luxemburg
AFR,Afrika,Madagaskar
AFR,Afrika,Malawi
ASI,Asien,Malaysia
ASI,Asien,Malediven
AFR,Afrika,Mali
EUR,Europa,Malta
AFR,Afrika,Marokko
AOA,Oceanien,Marshallinseln
AFR,Afrika,Mauretanien
AFR,Afrika,Mauritius
EUR,Europa,Mazedonien
AME,Amerika,Mexiko
AOA,Oceanien,Mikronesien
EUR,Europa,Moldau
EUR,Europa,Monaco
ASI,Asien,Mongolei
EUR,Europa,Montenegro
AFR,Afrika,Mosambik
ASI,Asien,Myanmar
AFR,Afrika,Namibia
AOA,Oceanien,Nauru
ASI,Asien,Nepal
AOA,Oceanien,Neuseeland
AME,Amerika,Nicaragua
EUR,Europa,Niederlande
AFR,Afrika,Niger
AFR,Afrika,Nigeria
AOA,Oceanien,Niue
EUR,Europa,Norwegen
ASI,Asien,Oman
EUR,Europa,Österreich
ASI,Asien,Pakistan
AOA,Oceanien,Palau
AME,Amerika,Panama
AOA,Oceanien,Papua-Neuguinea
AME,Amerika,Paraguay
AME,Amerika,Peru
ASI,Asien,Philippinen
EUR,Europa,Polen
EUR,Europa,Portugal
AFR,Afrika,Ruanda
EUR,Europa,Rumänien
EUR,Europa,Russische Föderation
AOA,Oceanien,Salomonen
AFR,Afrika,Sambia
AOA,Oceanien,Samoa
EUR,Europa,San Marino
AFR,Afrika,São Tomé und Príncipe
ASI,Asien,Saudi-Arabien
EUR,Europa,Schweden
EUR,Europa,Schweiz
AFR,Afrika,Senegal
EUR,Europa,Serbien
AFR,Afrika,Seychellen
AFR,Afrika,Sierra Leone
AFR,Afrika,Simbabwe
ASI,Asien,Singapur
EUR,Europa,Slowakei
EUR,Europa,Slowenien
AFR,Afrika,Somalia
EUR,Europa,Spanien
ASI,Asien,Sri Lanka
AME,Amerika,St. Kitts und Nevis
AME,Amerika,St. Lucia
AME,Amerika,St. Vincent und die Grenadinen
AFR,Afrika,Südafrika
AFR,Afrika,Sudan
AFR,Afrika,Südsudan
AME,Amerika,Suriname
AFR,Afrika,Swasiland
ASI,Asien,Syrien
ASI,Asien,Tadschikistan
AFR,Afrika,Tansania
ASI,Asien,Thailand
ASI,Asien,Timor-Leste
AFR,Afrika,Togo
AOA,Oceanien,Tonga
AME,Amerika,Trinidad und Tobago
AFR,Afrika,Tschad
EUR,Europa,Tschechische Republik
AFR,Afrika,Tunesien
EUR,Europa,Türkei
ASI,Asien,Turkmenistan
AOA,Oceanien,Tuvalu
AFR,Afrika,Uganda
EUR,Europa,Ukraine
EUR,Europa,Ungarn
AME,Amerika,Uruguay
ASI,Asien,Usbekistan
AOA,Oceanien,Vanuatu
EUR,Europa,Vatikanstadt
AME,Amerika,Venezuela
ASI,Asien,Vereinigte Arabische Emirate
AME,Amerika,Vereinigte Staaten
EUR,Europa,Vereinigtes Königreich
ASI,Asien,Vietnam
EUR,Europa,Weißrussland
AFR,Afrika,Zentralafrikanische Republik
EUR,Europa,Zypern
